transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,ip_address_flag,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,is_weekend,year,month,day,hour,day_of_week,actual_fraud_label,logistic_regression_balanced_pred,logistic_regression_balanced_fraud_probability,random_forest_pred,random_forest_fraud_probability,random_forest_balanced_pred,random_forest_balanced_fraud_probability,xgboost_weighted_pred,xgboost_weighted_fraud_probability,model_risk_score,scored_transaction_id,risk_level,recommended_action
15.22,ATM Withdrawal,5031.92,Laptop,Mumbai,Electronics,0,1,9,268.86,4,Amex,55,375.04,OTP,0,2023,11,27,7,0,1,1,0.8035269410603068,1,0.8856798799934099,1,0.8803747837870104,1,0.9997882,88.56798799934099,SCORED_TXN_02750,High,Manual Review / Alert
114.32,ATM Withdrawal,96899.08,Tablet,Mumbai,Clothing,0,0,14,143.34,4,Mastercard,102,623.65,PIN,1,2023,5,4,10,3,1,1,0.8003457365634581,1,0.8854720374130209,1,0.903115365280982,1,0.99978596,88.5472037413021,SCORED_TXN_09006,High,Manual Review / Alert
179.01,Bank Transfer,21654.51,Tablet,London,Restaurants,0,0,9,264.44,4,Mastercard,6,1521.7,Password,0,2023,9,15,2,4,1,1,0.8072749910377355,1,0.8853749905264242,1,0.9010524658709532,1,0.99977726,88.53749905264242,SCORED_TXN_09577,High,Manual Review / Alert
149.94,Bank Transfer,85786.62,Laptop,Tokyo,Travel,0,0,10,289.6,4,Visa,113,1690.74,PIN,1,2023,9,15,14,4,1,1,0.7892434477636375,1,0.8853556018321538,1,0.9148008489146032,1,0.99979204,88.53556018321538,SCORED_TXN_01569,High,Manual Review / Alert
18.21,ATM Withdrawal,47542.43,Tablet,New York,Clothing,0,0,5,175.3,4,Visa,150,3672.24,PIN,0,2023,11,22,11,2,1,1,0.8116030379353326,1,0.8852119160746572,1,0.8934235144325785,1,0.99977225,88.52119160746572,SCORED_TXN_08566,High,Manual Review / Alert
14.79,ATM Withdrawal,94928.62,Mobile,Tokyo,Travel,0,0,11,314.99,4,Discover,101,955.95,OTP,0,2023,6,18,23,6,1,1,0.81684496219157,1,0.885115921616779,1,0.9026016898841654,1,0.9997849,88.5115921616779,SCORED_TXN_09580,High,Manual Review / Alert
78.2,ATM Withdrawal,12086.07,Mobile,New York,Clothing,0,0,12,294.29,4,Mastercard,66,1145.88,Biometric,1,2023,10,2,3,0,1,1,0.8013509488355711,1,0.885016092640377,1,0.8946473684297029,1,0.9997776,88.5016092640377,SCORED_TXN_02146,High,Manual Review / Alert
139.29,Online,68201.28,Tablet,Sydney,Travel,0,0,9,330.35,4,Mastercard,167,4216.9,Password,0,2023,3,23,14,3,1,1,0.8165730166890319,1,0.8847542706077013,1,0.9111632451984027,1,0.99978274,88.47542706077013,SCORED_TXN_00385,High,Manual Review / Alert
23.88,ATM Withdrawal,73296.47,Mobile,Tokyo,Clothing,1,0,13,267.1,4,Visa,117,4380.65,OTP,0,2023,2,4,7,5,1,1,0.7982002039099758,1,0.8845993382335593,1,0.8724744565901372,1,0.99977607,88.45993382335593,SCORED_TXN_03538,High,Manual Review / Alert
75.77,Bank Transfer,62361.93,Laptop,Tokyo,Clothing,0,0,5,411.34,4,Amex,158,382.51,OTP,1,2023,7,31,1,0,1,1,0.7998846195684962,1,0.8845732899895888,1,0.8770549415960278,1,0.99980015,88.45732899895889,SCORED_TXN_04230,High,Manual Review / Alert
37.86,ATM Withdrawal,63997.42,Laptop,Tokyo,Travel,0,1,14,278.63,4,Visa,126,1456.4,Password,0,2023,12,22,0,4,1,1,0.7845707209531955,1,0.8842581257668399,1,0.9004433857465676,1,0.99979085,88.425812576684,SCORED_TXN_04957,High,Manual Review / Alert
0.14,POS,31156.62,Mobile,London,Restaurants,0,0,5,315.16,4,Discover,116,1716.03,PIN,1,2023,10,28,15,5,1,1,0.8141556768339608,1,0.8839981145116823,1,0.8756218258153975,1,0.9998234,88.39981145116823,SCORED_TXN_00079,High,Manual Review / Alert
35.98,ATM Withdrawal,96191.93,Laptop,Tokyo,Restaurants,0,0,14,348.6,4,Discover,221,145.96,OTP,0,2023,7,28,15,4,1,1,0.8184065793487749,1,0.8839155068257287,1,0.8973304971012076,1,0.9997969,88.39155068257287,SCORED_TXN_03500,High,Manual Review / Alert
211.51,Online,50013.76,Laptop,New York,Travel,0,0,14,404.82,4,Amex,217,972.73,Password,0,2023,5,29,5,0,1,1,0.799908049336262,1,0.8838396408258562,1,0.9004862229052611,1,0.99978274,88.38396408258562,SCORED_TXN_02849,High,Manual Review / Alert
42.2,POS,57644.83,Mobile,New York,Electronics,0,0,13,118.27,4,Discover,124,2566.05,Biometric,0,2023,2,9,7,3,1,1,0.800182441883739,1,0.8837983076913242,1,0.905015236559686,1,0.99977237,88.37983076913241,SCORED_TXN_03493,High,Manual Review / Alert
13.92,Online,65478.92,Laptop,New York,Travel,0,0,12,145.78,4,Discover,29,2633.1,PIN,0,2023,8,14,3,0,1,1,0.7998278816555694,1,0.8837523939464895,1,0.9051344368083124,1,0.9997695,88.37523939464896,SCORED_TXN_01880,High,Manual Review / Alert
110.69,ATM Withdrawal,22654.87,Tablet,Tokyo,Restaurants,0,0,12,136.1,4,Mastercard,205,1261.08,Password,0,2023,4,12,19,2,1,1,0.8172688291848598,1,0.8837416139180583,1,0.8970423399207109,1,0.9997788,88.37416139180583,SCORED_TXN_00082,High,Manual Review / Alert
30.82,Online,76458.38,Tablet,London,Restaurants,0,0,14,108.06,4,Mastercard,101,2794.58,Password,0,2023,1,28,19,5,1,1,0.8193099949419418,1,0.883687490549317,1,0.9069967410587496,1,0.999775,88.3687490549317,SCORED_TXN_02172,High,Manual Review / Alert
246.32,ATM Withdrawal,29156.98,Tablet,Sydney,Groceries,0,0,12,112.18,4,Amex,126,4011.58,Password,0,2023,3,16,11,3,1,1,0.8147986142040083,1,0.8836028185824186,1,0.8844391424762106,1,0.999777,88.36028185824186,SCORED_TXN_00897,High,Manual Review / Alert
17.87,ATM Withdrawal,29456.31,Laptop,Mumbai,Restaurants,0,0,13,351.85,4,Mastercard,184,2667.04,Password,0,2023,12,8,21,4,1,1,0.8191172620407536,1,0.8833907818109262,1,0.9160004167797482,1,0.9997801,88.33907818109262,SCORED_TXN_03002,High,Manual Review / Alert
99.91,Online,80724.06,Tablet,Tokyo,Travel,0,0,14,429.64,4,Visa,202,102.83,Biometric,0,2023,11,19,5,6,1,1,0.8000328458048022,1,0.883335289283993,1,0.8809991932254079,1,0.99977833,88.33352892839929,SCORED_TXN_00065,High,Manual Review / Alert
98.4,POS,65562.76,Tablet,Tokyo,Groceries,0,0,1,62.04,4,Mastercard,88,918.62,PIN,0,2023,12,8,1,4,1,1,0.7925777130601228,1,0.8831521129272328,1,0.9111246301329048,1,0.99979407,88.31521129272329,SCORED_TXN_06647,High,Manual Review / Alert
18.02,Online,23114.56,Tablet,New York,Restaurants,0,0,2,77.68,4,Amex,88,3420.64,PIN,0,2023,10,5,1,3,1,1,0.8186196261231102,1,0.8831413681092666,1,0.892240818381905,1,0.99976474,88.31413681092666,SCORED_TXN_08034,High,Manual Review / Alert
29.89,POS,20999.57,Mobile,London,Restaurants,0,0,10,113.5,4,Discover,7,2676.22,OTP,0,2023,9,3,20,6,1,1,0.8157339975580811,1,0.8829125967238916,1,0.9003457063531888,1,0.9997743,88.29125967238916,SCORED_TXN_05187,High,Manual Review / Alert
184.61,Bank Transfer,19847.71,Tablet,New York,Groceries,0,0,10,138.55,4,Amex,29,3695.82,OTP,0,2023,3,6,3,0,1,1,0.8070902389964293,1,0.8828676576906527,1,0.8968943147591094,1,0.9997787,88.28676576906527,SCORED_TXN_06243,High,Manual Review / Alert
48.87,POS,21665.69,Tablet,Sydney,Restaurants,0,0,14,175.06,4,Amex,137,2261.8,PIN,1,2023,4,20,14,3,1,1,0.8132032237509796,1,0.8828539725211966,1,0.9135801087479878,1,0.99977034,88.28539725211965,SCORED_TXN_01904,High,Manual Review / Alert
8.22,ATM Withdrawal,47072.83,Laptop,Tokyo,Electronics,0,0,9,85.94,4,Amex,91,4383.64,Password,1,2023,11,24,23,4,1,1,0.813690495424414,1,0.8826969821611439,1,0.8860328208284413,1,0.9997869,88.26969821611439,SCORED_TXN_07262,High,Manual Review / Alert
131.33,Bank Transfer,20429.64,Mobile,Tokyo,Restaurants,0,0,12,54.49,4,Amex,22,3649.17,PIN,0,2023,6,10,14,5,1,1,0.8093817965530052,1,0.882583439120252,1,0.86757490997305,1,0.99976975,88.2583439120252,SCORED_TXN_09813,High,Manual Review / Alert
37.0,ATM Withdrawal,58364.8,Tablet,New York,Electronics,0,0,13,276.91,4,Discover,48,3989.93,Password,0,2023,8,6,8,6,1,1,0.8150073615078394,1,0.8825577394342675,1,0.9217978160930924,1,0.99977344,88.25577394342675,SCORED_TXN_06716,High,Manual Review / Alert
51.65,Bank Transfer,18994.81,Tablet,Tokyo,Travel,1,1,2,264.96,4,Visa,238,360.69,PIN,0,2023,9,2,12,5,1,1,0.7911064532236968,1,0.8824499635720667,1,0.8896340997455066,1,0.9997824,88.24499635720667,SCORED_TXN_04766,High,Manual Review / Alert
22.29,Bank Transfer,13818.4,Tablet,London,Groceries,0,0,11,296.18,4,Visa,16,1208.13,PIN,0,2023,4,30,5,6,1,1,0.8018574690064834,1,0.882359235063289,1,0.9046368510264828,1,0.99978966,88.2359235063289,SCORED_TXN_05564,High,Manual Review / Alert
94.19,Online,33331.52,Laptop,Tokyo,Electronics,0,0,11,404.98,4,Mastercard,40,3163.47,Password,0,2023,9,18,0,0,1,1,0.7932259046278869,1,0.8823133275572199,1,0.8986435896999375,1,0.999785,88.231332755722,SCORED_TXN_04421,High,Manual Review / Alert
6.73,ATM Withdrawal,60708.39,Mobile,London,Travel,0,0,11,283.74,4,Mastercard,197,4132.75,Password,0,2023,10,14,16,5,1,1,0.8120571035079751,1,0.8821838242406214,1,0.9109626615700228,1,0.999785,88.21838242406214,SCORED_TXN_00245,High,Manual Review / Alert
144.63,Bank Transfer,15227.64,Mobile,London,Groceries,0,0,14,203.86,4,Amex,144,3172.81,PIN,1,2023,2,14,13,1,1,1,0.7989603904280819,1,0.8821474165168598,1,0.898205925499283,1,0.99978,88.21474165168598,SCORED_TXN_09757,High,Manual Review / Alert
79.18,Online,18481.85,Mobile,Mumbai,Groceries,0,0,11,153.86,4,Amex,97,650.22,Password,0,2023,10,2,10,0,1,1,0.7959930818169105,1,0.8820141851849485,1,0.9074341649709504,1,0.9997819,88.20141851849485,SCORED_TXN_00117,High,Manual Review / Alert
23.39,Bank Transfer,86338.64,Laptop,Mumbai,Travel,0,1,12,182.71,4,Discover,215,4032.38,OTP,0,2023,7,30,16,6,1,1,0.814706637181815,1,0.8820035848468357,1,0.905917019642818,1,0.9997744,88.20035848468358,SCORED_TXN_07190,High,Manual Review / Alert
82.24,ATM Withdrawal,89897.15,Laptop,Tokyo,Restaurants,0,0,14,425.04,4,Discover,89,107.64,Password,0,2023,10,10,18,1,1,1,0.8040916591517083,1,0.8819651153046099,1,0.8814855931232829,1,0.99980015,88.19651153046098,SCORED_TXN_07684,High,Manual Review / Alert
52.94,Bank Transfer,86791.52,Tablet,New York,Electronics,0,0,10,302.09,4,Visa,184,470.32,Password,0,2023,1,21,9,5,1,1,0.798705573188827,1,0.8819324009067127,1,0.8872061532647407,1,0.9997738,88.19324009067127,SCORED_TXN_05112,High,Manual Review / Alert
86.02,Bank Transfer,28929.61,Tablet,Mumbai,Electronics,0,0,12,320.75,4,Amex,25,2606.44,OTP,0,2023,2,4,15,5,1,1,0.8140855874403671,1,0.8819170716413087,1,0.9160643140665028,1,0.99980336,88.19170716413088,SCORED_TXN_06973,High,Manual Review / Alert
158.48,ATM Withdrawal,62937.62,Laptop,Tokyo,Restaurants,0,0,14,111.17,4,Discover,235,646.14,Password,1,2023,12,4,19,0,1,1,0.8050716895210545,1,0.8819158577260467,1,0.9028474951525556,1,0.9997876,88.19158577260467,SCORED_TXN_06759,High,Manual Review / Alert
17.38,ATM Withdrawal,27221.21,Mobile,London,Clothing,0,0,10,276.53,4,Discover,135,3316.87,Biometric,0,2023,4,14,3,4,1,1,0.8146800989125156,1,0.8818859024744837,1,0.9172346309813504,1,0.9997745,88.18859024744837,SCORED_TXN_09646,High,Manual Review / Alert
92.83,POS,71194.52,Laptop,Tokyo,Electronics,0,0,12,150.32,4,Visa,198,4279.3,Biometric,1,2023,12,22,20,4,1,1,0.7962224203687757,1,0.8818555043876017,1,0.8705056256792133,1,0.9997687,88.18555043876017,SCORED_TXN_01100,High,Manual Review / Alert
137.47,ATM Withdrawal,66082.15,Tablet,New York,Clothing,0,0,13,426.69,4,Amex,150,1458.74,PIN,0,2023,9,24,16,6,1,1,0.8161584877688537,1,0.8818280380070456,1,0.8974064392397669,1,0.99979323,88.18280380070456,SCORED_TXN_07634,High,Manual Review / Alert
5.78,ATM Withdrawal,16388.92,Laptop,London,Travel,1,1,13,384.7,4,Amex,81,2819.19,Password,0,2023,10,5,13,3,1,1,0.7949944238686625,1,0.8817327652848567,1,0.8891910090057511,1,0.9997917,88.17327652848567,SCORED_TXN_06016,High,Manual Review / Alert
